geometry/coordinates/0,geometry/coordinates/1,geometry/type,properties/addressStreet,properties/addressCity,properties/addressState,properties/addressZipCode,properties/bikesAvailable,properties/closeTime,properties/docksAvailable,properties/eventEnd,properties/eventStart,properties/isEventBased,properties/isVirtual,properties/kioskId,properties/kioskPublicStatus,properties/name,properties/openTime,properties/publicText,properties/timeZone,properties/totalDocks,properties/trikesAvailable,type
-75.16374,39.95378,Point,1401 John F. Kennedy Blvd.,Philadelphia,PA,19102,10,23:58:00,15,,,false,false,3004,Active,Municipal Services Building Plaza,00:02:00,,Eastern Standard Time,25,0,Feature
-75.14403,39.94733,Point,191 S. 2nd St.,Philadelphia,PA,19106,4,23:58:00,9,,,false,false,3005,Active,"Welcome Park, NPS",00:02:00,,Eastern Standard Time,13,0,Feature
-75.20311,39.9522,Point,246 S. 40th St.,Philadelphia,PA,19104,7,23:58:00,10,,,false,false,3006,Active,40th & Spruce,00:02:00,,Eastern Standard Time,17,0,Feature
-75.15993,39.94517,Point,328 S. 11th St.,Philadelphia,PA,19107,12,23:58:00,3,,,false,false,3007,Active,"11th & Pine, Kahn Park",00:02:00,Not currently working for credit cards,Eastern Standard Time,15,0,Feature
-75.15055,39.98078,Point,1076 Berks Street,Philadelphia,PA,19122,5,23:58:00,14,,,false,false,3008,Active,Temple University Station,00:02:00,,Eastern Standard Time,19,0,Feature
-75.18982,39.95576,Point,3318 Market St.,Philadelphia,PA,19104,5,23:58:00,9,,,false,false,3009,Active,33rd & Market,00:02:00,,Eastern Standard Time,14,0,Feature
-75.16618,39.94711,Point,1483 Spruce St.,Philadelphia,PA,19102,12,23:58:00,7,,,false,false,3010,Active,15th & Spruce,00:02:00,,Eastern Standard Time,19,0,Feature
-75.19701,39.96046,Point,3801 Lancaster Avenue,Philadelphia,PA,19104,5,23:58:00,3,,,false,false,3011,Active,38th & Lancaster,00:02:00,,Eastern Standard Time,8,0,Feature
-75.17747,39.94218,Point,807 S. 21st St.,Philadelphia,PA,19149,11,23:58:00,16,,,false,false,3012,Active,21st & Catharine,00:02:00,,Eastern Standard Time,27,0,Feature
-75.14792,39.96317,Point,674 N. 6th St.,Philadelphia,PA,19123,7,23:58:00,8,,,false,false,3013,Active,6th & Fairmount,00:02:00,,Eastern Standard Time,15,0,Feature
-75.17369,39.95886,Point,2090 Winter St.,Philadelphia,PA,19103,2,23:58:00,23,,,false,false,3014,Active,"21st & Winter, Franklin Institute",00:02:00,,Eastern Standard Time,25,0,Feature
-75.14886,39.94735,Point,422 Walnut St.,Philadelphia,PA,19106,3,23:58:00,8,,,false,false,3015,Active,"4th & Walnut, NPS",00:02:00,,Eastern Standard Time,11,0,Feature
-75.1547,39.96892,Point,1100 Poplar St.,Philadelphia,PA,19123,3,23:58:00,12,,,false,false,3016,Active,"11th & Poplar, John F. Street Community Center",00:02:00,,Eastern Standard Time,15,0,Feature
-75.14371,39.98003,Point,527 W. Berks St.,Philadelphia,PA,19122,5,23:58:00,10,,,false,false,3017,Active,6th & Berks,00:02:00,,Eastern Standard Time,15,0,Feature
-75.15979,39.95273,Point,1200 Filbert St.,Philadelphia,PA,19107,9,23:58:00,9,,,false,false,3018,Active,12th & Filbert,00:02:00,,Eastern Standard Time,18,0,Feature
-75.14983,39.95403,Point,160 N. 6th St.,Philadelphia,PA,19106,5,23:58:00,10,,,false,false,3019,Active,6th & Race,00:02:00,,Eastern Standard Time,15,0,Feature
-75.18986,39.94887,Point,3051 South St.,Philadelphia,PA,19147,10,23:58:00,25,,,false,false,3020,Active,University City Station,00:02:00,,Eastern Standard Time,35,0,Feature
-75.16902,39.9539,Point,1750 John F. Kennedy Blvd.,Philadelphia,PA,19103,9,23:58:00,25,,,false,false,3021,Active,18th & JFK,00:02:00,,Eastern Standard Time,34,0,Feature
-75.18323,39.95472,Point,2933 Market Street,Philadelphia,PA,19104,5,23:58:00,16,,,false,false,3022,Active,Amtrak 30th Street Station,00:02:00,,Eastern Standard Time,21,0,Feature
-75.17286,39.95048,Point,1911 Walnut St,Philadelphia,PA,19103,9,23:58:00,11,,,false,false,3023,Active,Rittenhouse Square,00:02:00,,Eastern Standard Time,21,0,Feature
-75.20908,39.94822,Point,598 S. 43rd St.,Philadelphia,PA,19104,13,23:58:00,3,,,false,false,3024,Active,"43rd & Chester, Clark Park",00:02:00,,Eastern Standard Time,19,0,Feature
-75.1612,39.93724,Point,1084 Washington Ave.,Philadelphia,PA,19147,13,23:58:00,2,,,false,false,3025,Active,11th & Washington,00:02:00,,Eastern Standard Time,15,0,Feature
-75.14564,39.94138,Point,523 S. 2nd St.,Philadelphia,PA,19147,11,23:58:00,6,,,false,false,3026,Active,2nd & South,00:02:00,,Eastern Standard Time,17,0,Feature
-75.20177,39.95708,Point,3984 Market St.,Philadelphia,PA,19104,4,23:58:00,11,,,false,false,3027,Active,"40th Street Station, MFL",00:02:00,,Eastern Standard Time,15,0,Feature
-75.14958,39.94061,Point,404 Bainbridge St.,Philadelphia,PA,19147,10,23:58:00,5,,,false,false,3028,Active,4th & Bainbridge,00:02:00,,Eastern Standard Time,15,0,Feature
-75.19479,39.9538,Point,125 S. 36th St.,Philadelphia,PA,19104,0,23:58:00,17,,,false,false,3029,Active,36th & Sansom,00:02:00,,Eastern Standard Time,17,0,Feature
-75.15716,39.93935,Point,840 S. Darien St.,Philadelphia,PA,19147,18,23:58:00,11,,,false,false,3030,Active,Darien & Catharine,00:02:00,,Eastern Standard Time,29,0,Feature
-75.15522,39.98005,Point,1284 W. Montgomery Ave.,Philadelphia,PA,19122,11,23:58:00,10,,,false,false,3031,Active,13th & Montgomery,00:02:00,,Eastern Standard Time,21,0,Feature
-75.17971,39.94527,Point,671 S. 23rd St.,Philadelphia,PA,19146,13,23:58:00,4,,,false,false,3032,Active,23rd & South,00:02:00,,Eastern Standard Time,17,0,Feature
-75.15672,39.95005,Point,921 Chestnut St.,Philadelphia,PA,19107,4,23:58:00,16,,,false,false,3033,Active,10th & Chestnut,00:02:00,Docks may be obstructed by snow.,Eastern Standard Time,20,0,Feature
-75.16248,39.93315,Point,1116 Reed St.,Philadelphia,PA,19147,15,23:58:00,1,,,false,false,3034,Active,11th & Reed,00:02:00,,Eastern Standard Time,16,0,Feature
-75.19419,39.96271,Point,3599 Spring Garden,Philadelphia,PA,19104,5,23:58:00,15,,,false,false,3035,Active,Dornsife Center,00:02:00,,Eastern Standard Time,20,0,Feature
-75.14001,39.96844,Point,1104 Germantown Ave.,Philadelphia,PA,19123,6,23:58:00,9,,,false,false,3036,Active,2nd & Germantown,00:02:00,,Eastern Standard Time,15,0,Feature
-75.16138,39.95424,Point,1321 Arch St.,Philadelphia,PA,19107,1,23:58:00,20,,,false,false,3037,Active,Pennsylvania Convention Center,00:02:00,,Eastern Standard Time,21,0,Feature
-75.19409,39.94781,Point,3499 Civic Center Blvd.,Philadelphia,PA,19104,6,23:58:00,13,,,false,false,3038,Active,The Children's Hospital of Philadelphia (CHOP),00:02:00,,Eastern Standard Time,19,0,Feature
-75.1597,39.97121,Point,922 N. Broad St.,Philadelphia,PA,19130,5,23:58:00,13,,,false,false,3039,Active,Broad & Girard,00:02:00,,Eastern Standard Time,19,0,Feature
-75.16606,39.96289,Point,1684 Spring Garden St.,Philadelphia,PA,19130,2,23:58:00,19,,,false,false,3040,Active,"17th & Spring Garden, Community College of Philadelphia",00:02:00,,Eastern Standard Time,21,0,Feature
-75.13546,39.96849,Point,1176 Leopard Ave.,Philadelphia,PA,19123,11,23:58:00,8,,,false,false,3041,Active,"Girard Station, MFL",00:02:00,,Eastern Standard Time,19,0,Feature
-75.17474,39.93082,Point,1625 S. 18th St.,Philadelphia,PA,19145,13,23:58:00,5,,,false,false,3043,Active,"18th & Fernon, Aquinas Center",00:02:00,,Eastern Standard Time,18,0,Feature
-75.16237,39.94792,Point,213 S. 13th St.,Philadelphia,PA,19107,11,23:58:00,3,,,false,false,3045,Active,13th & Locust,00:02:00,,Eastern Standard Time,15,0,Feature
-75.14472,39.95012,Point,215 Market St.,Philadelphia,PA,19106,4,23:58:00,7,,,false,false,3046,Active,2nd & Market,00:02:00,,Eastern Standard Time,11,0,Feature
-75.14921,39.95071,Point,519 Market St.,Philadelphia,PA,19106,8,23:58:00,11,,,false,false,3047,Active,"Independence Mall, NPS",00:02:00,,Eastern Standard Time,20,0,Feature
-75.1425,39.94509,Point,3 Dock St.,Philadelphia,PA,19106,11,23:58:00,18,,,false,false,3049,Active,Foglietta Plaza,00:02:00,,Eastern Standard Time,29,0,Feature
-75.15426,39.95339,Point,813 Arch St.,Philadelphia,PA,19107,4,23:58:00,11,,,false,false,3050,Active,9th & Arch,00:02:00,,Eastern Standard Time,15,0,Feature
-75.17507,39.96744,Point,2237 Fairmount Ave.,Philadelphia,PA,19130,20,23:58:00,5,,,false,false,3051,Active,23rd & Fairmount,00:02:00,,Eastern Standard Time,25,0,Feature
-75.15695,39.94732,Point,923 Locust St.,Philadelphia,PA,19107,11,23:58:00,14,,,false,false,3052,Active,9th & Locust,00:02:00,,Eastern Standard Time,25,0,Feature
-75.18154,39.93231,Point,1575 Point Breeze Ave.,Philadelphia,PA,19146,11,23:58:00,8,,,false,false,3053,Active,Point Breeze & Tasker,00:02:00,,Eastern Standard Time,19,0,Feature
-75.1742,39.9625,Point,2170 Hamilton St.,Philadelphia,PA,19146,8,23:58:00,7,,,false,false,3054,Active,Rodin Museum,00:02:00,,Eastern Standard Time,15,0,Feature
-75.15457,39.95112,Point,834 Market St.,Philadelphia,PA,19107,4,23:58:00,11,,,false,false,3055,Active,8th & Market,00:02:00,,Eastern Standard Time,15,0,Feature
-75.15813,39.97669,Point,1501 N. Broad St.,Philadelphia,PA,19122,14,23:58:00,9,,,false,false,3056,Active,Broad & Oxford,00:02:00,,Eastern Standard Time,23,0,Feature
-75.1816,39.96371,Point,2600 Benjamin Franklin Pkwy.,Philadelphia,PA,19130,15,23:58:00,8,,,false,false,3057,Active,Philadelphia Museum of Art,00:02:00,Station at this temporary location during Museum of Art events.,Eastern Standard Time,23,0,Feature
-75.17001,39.96716,Point,1940 Fairmount Ave.,Philadelphia,PA,19130,6,23:58:00,7,,,false,false,3058,Active,20th & Fairmount,00:02:00,,Eastern Standard Time,13,0,Feature
-75.16174,39.96265,Point,1415 Spring Garden St.,Philadelphia,PA,19123,6,23:58:00,15,,,false,false,3059,Active,"Spring Garden Station, BSL",00:02:00,,Eastern Standard Time,21,0,Feature
-75.17036,39.95923,Point,302 N. 19th St.,Philadelphia,PA,19103,9,23:58:00,10,,,false,false,3060,Active,Free Library of Philadelphia - Central Library,00:02:00,,Eastern Standard Time,19,0,Feature
-75.17761,39.95425,Point,2241 Market St.,Philadelphia,PA,19103,2,23:58:00,23,,,false,false,3061,Active,23rd & Market,00:02:00,,Eastern Standard Time,25,0,Feature
-75.17943,39.95197,Point,120 S. 24th St.,Philadelphia,PA,19103,9,23:58:00,6,,,false,false,3062,Active,24th & Sansom,00:02:00,,Eastern Standard Time,15,0,Feature
-75.1698,39.94633,Point,391  S. 17th St.,Philadelphia,PA,19103,3,23:58:00,22,,,false,false,3063,Active,17th & Pine,00:02:00,,Eastern Standard Time,25,0,Feature
-75.17327,39.9384,Point,1800 Washington Ave.,Philadelphia,PA,19146,10,23:58:00,5,,,false,false,3064,Active,"18th & Washington, Chew Playground",00:02:00,,Eastern Standard Time,15,0,Feature
-75.15171,39.9707,Point,915 W. Girard Ave.,Philadelphia,PA,19123,5,23:58:00,10,,,false,false,3065,Active,Girard & Hutchinson,00:02:00,,Eastern Standard Time,15,0,Feature
-75.17348,39.94561,Point,1910 Lombard St.,Philadelphia,PA,19146,14,23:58:00,5,,,false,false,3066,Active,19th & Lombard,00:02:00,,Eastern Standard Time,19,0,Feature
-75.19973,39.96411,Point,631 N. 39th St.,Philadelphia,PA,19104,9,23:58:00,8,,,false,false,3067,Active,"39th & Mt. Vernon, Mantua Haverford Community Center",00:02:00,,Eastern Standard Time,17,0,Feature
-75.16711,39.93549,Point,1201 S. Broad St.,Philadelphia,PA,19146,11,23:58:00,7,,,false,false,3068,Active,Broad & Federal,00:02:00,,Eastern Standard Time,18,0,Feature
-75.15038,39.93704,Point,403 Christian St.,Philadelphia,PA,19147,17,23:58:00,6,,,false,false,3069,Active,4th & Christian,00:02:00,,Eastern Standard Time,23,0,Feature
-75.13983,39.96062,Point,117 Spring Garden St.,Philadelphia,PA,19123,9,23:58:00,10,,,false,false,3070,Active,"Spring Garden Station, MFL",00:02:00,,Eastern Standard Time,19,0,Feature
-75.18788,39.96173,Point,3170 Baring St.,Philadelphia,PA,19104,7,23:58:00,6,,,false,false,3071,Active,"32nd & Baring, Drexel Park",00:02:00,,Eastern Standard Time,13,0,Feature
-75.14541,39.93445,Point,925 S. Front St.,Philadelphia,PA,19147,22,23:58:00,3,,,false,false,3072,Active,Front & Carpenter,00:02:00,,Eastern Standard Time,25,0,Feature
-75.15242,39.96143,Point,802 Spring Garden St.,Philadelphia,PA,19123,7,23:58:00,8,,,false,false,3073,Active,9th & Spring Garden,00:02:00,,Eastern Standard Time,15,0,Feature
-75.20987,39.95511,Point,160 S. 44th St.,Philadelphia,PA,19104,8,23:58:00,7,,,false,false,3074,Active,44th & Walnut,00:02:00,,Eastern Standard Time,15,0,Feature
-75.16125,39.96718,Point,1413 Fairmount Ave.,Philadelphia,PA,19130,9,23:58:00,3,,,false,false,3075,Active,Fairmount & Ridge,00:02:00,,Eastern Standard Time,12,0,Feature
-75.16351,39.97207,Point,1617 Girard Ave.,Philadelphia,PA,19130,1,23:58:00,18,,,false,false,3077,Active,17th & Girard,00:02:00,,Eastern Standard Time,19,0,Feature
-75.17192,39.95355,Point,1901 Market St.,Philadelphia,PA,19103,12,23:58:00,6,,,false,false,3078,Active,19th & Market,00:02:00,,Eastern Standard Time,18,0,Feature
-75.16691,39.94019,Point,1406 Christian Street,Philadelphia,PA,19146,11,23:58:00,10,,,false,false,3086,Active,Broad & Christian,00:02:00,,Eastern Standard Time,21,0,Feature
-75.1418,39.96984,Point,317 W. Girard Ave. ,Philadelphia,PA,19125,16,23:58:00,4,,,false,false,3088,Active,3rd & Girard,00:03:00,,Eastern Standard Time,20,0,Feature
-75.18701,39.98837,Point,2039 N. 33rd Street,Philadelphia,PA,19121,8,23:58:00,13,,,false,false,3093,Active,33rd & Diamond,00:02:00,,Eastern Standard Time,21,0,Feature
-75.18052,39.98771,Point,2039 N. 29th Street,Philadelphia,PA,19121,3,23:58:00,19,,,false,false,3095,Active,29th & Diamond,00:02:00,,Eastern Standard Time,22,0,Feature
-75.17975,39.99119,Point,2301 N. 29th Street,Philadelphia,PA,19132,3,23:58:00,16,,,false,false,3096,Active,29th & Dauphin,00:02:00,,Eastern Standard Time,19,0,Feature
-75.13339,39.97888,Point,1902 N. Front Street,Philadelphia,PA,19122,6,23:58:00,16,,,false,false,3097,Active,"Berks Station, MFL",00:02:00,,Eastern Standard Time,23,0,Feature
-75.16042,39.93431,Point,1201 S. 10th Street,Philadelphia,PA,19147,19,23:58:00,0,,,false,false,3098,Active,10th & Federal,00:02:00,,Eastern Standard Time,19,0,Feature
-75.15094,39.93401,Point,1110 S. 4th Street,Philadelphia,PA,19147,11,23:58:00,8,,,false,false,3099,Active,4th & Washington,00:02:00,,Eastern Standard Time,19,0,Feature
-75.15103,39.92777,Point,1600 E. Moyamensing,Philadelphia,PA,19148,13,23:58:00,10,,,false,false,3100,Active,Moyamensing & Tasker,00:02:00,,Eastern Standard Time,23,0,Feature
-75.15955,39.94295,Point,1015 South Street,Philadelphia,PA,19147,8,23:58:00,10,,,false,false,3101,Active,11th & South,00:02:00,,Eastern Standard Time,18,0,Feature
-75.18034,39.96818,Point,2601 Pennsylvania Avenue,Philadelphia,PA,19130,23,23:58:00,3,,,false,false,3102,Active,26th & Pennsylvania,00:02:00,,Eastern Standard Time,26,0,Feature
-75.1794,39.97714,Point,2651 Master Street,Philadelphia,PA,19121,6,23:58:00,16,,,false,false,3103,Active,"27th & Master, Athletic Recreation Center",00:02:00,,Eastern Standard Time,22,0,Feature
-75.19209,39.96664,Point,712 N. 34th Street,Philadelphia,PA,19104,5,23:58:00,8,,,false,false,3104,Active,34th & Mantua,00:02:00,,Eastern Standard Time,13,0,Feature
-75.12996,39.96652,Point,1341 N. Delaware Avenue,Philadelphia,PA,19125,0,23:58:00,19,,,false,false,3105,Active,Penn Treaty Park,00:02:00,,Eastern Standard Time,19,0,Feature
-75.18637,39.99179,Point,2300 N. 33rd Street,Philadelphia,PA,19132,11,23:58:00,12,,,false,false,3106,Active,33rd & Dauphin,00:02:00,,Eastern Standard Time,23,0,Feature
-75.18866,39.98203,Point,1626 N. 33rd Street,Philadelphia,PA,19121,9,23:58:00,14,,,false,false,3107,Active,33rd & Reservoir,00:02:00,,Eastern Standard Time,23,0,Feature
-75.16551,39.95316,Point,1515 Market Street,Philadelphia,PA,19102,10,23:58:00,11,,,false,false,3108,Active,15th & Market,00:02:00,,Eastern Standard Time,22,0,Feature
-75.20524,39.97486,Point,4105 Parkside Ave.,Philadelphia,PA,19104,1,23:58:00,18,,,false,false,3109,Active,Parkside & Girard,00:02:00,,Eastern Standard Time,19,0,Feature
-75.13641,39.96175,Point,779 Delaware Ave,Philadelphia,PA,19123,6,23:58:00,13,,,false,false,3110,Active,Del. River Trail & Penn St.,00:02:00,,Eastern Standard Time,19,0,Feature
-75.2122,39.97804,Point,4300 S. Concourse St.,Philadelphia,PA,19104,4,23:58:00,15,,,false,false,3111,Active,"Parkside & Belmont, Case Buildling",00:02:00,,Eastern Standard Time,19,0,Feature
-75.21825,39.95373,Point,310 S. 48th Street,Philadelphia,PA,19139,9,23:58:00,9,,,false,false,3112,Active,48th & Spruce,00:02:00,,Eastern Standard Time,18,0,Feature
-75.19562,39.97469,Point,1046 N. 34th Street,Philadelphia,PA,19104,0,23:58:00,18,,,false,false,3113,Active,Philadelphia Zoo,00:02:00,,Eastern Standard Time,18,0,Feature
-75.18012,39.93775,Point,22nd & Federal St.,Philadelphia,PA,19122,12,23:58:00,5,,,false,false,3114,Active,22nd & Federal,00:02:00,,Eastern Standard Time,17,0,Feature
-75.16757,39.97263,Point,1901 W. Girard St..,Philadelphia,PA,19130,1,23:58:00,22,,,false,false,3115,Active,"19th & Girard, PTTI",00:02:00,,Eastern Standard Time,23,0,Feature
-75.22399,39.97841,Point,1575 N 52nd St.,Philadelphia,PA,19131,5,23:58:00,14,,,false,false,3117,Active,ParkWest Town Center,00:02:00,,Eastern Standard Time,19,0,Feature
-75.21323,39.95866,Point,4628 Market Street,Philadelphia,PA,19139,10,23:58:00,13,,,false,false,3118,Active,"46th Street Station, MFL",00:02:00,,Eastern Standard Time,23,0,Feature
-75.20799,39.96674,Point,4209 Lancaster Avenue,Philadelphia,PA,19104,11,23:58:00,6,,,false,false,3119,Active,42nd & Lancaster,00:02:00,,Eastern Standard Time,17,0,Feature
-75.18669,39.97522,Point,1210 N. 31st Street,Philadelphia,PA,19121,1,23:58:00,22,,,false,false,3120,Active,31st & Girard,00:02:00,,Eastern Standard Time,23,0,Feature
-75.17939,39.97274,Point,2601 Poplar Street,Philadelphia,PA,19130,7,23:58:00,11,,,false,false,3121,Active,26th & Poplar,00:02:00,Station available for key fobs. Phone number pass lookup and credit card use currently unavailable.,Eastern Standard Time,18,0,Feature
-75.1735,39.98062,Point,2328 Cecil B Moore,Philadelphia,PA,19121,8,23:58:00,8,,,false,false,3122,Active,"24th & Cecil B. Moore, Cecil B. Moore Library",00:02:00,,Eastern Standard Time,16,0,Feature
-75.17088,39.98004,Point,1637 N. 22nd Street,Philadelphia,PA,19121,0,23:58:00,19,,,false,false,3123,Active,22nd & Cecil B. Moore,00:02:00,,Eastern Standard Time,19,0,Feature
-75.13979,39.95295,Point,190 N Christopher Columbus Blvd (approx.),Philadelphia,PA,19106,9,23:58:00,14,,,false,false,3124,Active,Race Street Pier,00:02:00,,Eastern Standard Time,23,0,Feature
-75.16735,39.94391,Point,1505 South St. ,Philadelphia ,PA,19146,6,23:58:00,13,,,false,false,3125,Active,15th & South,00:02:00,,Eastern Standard Time,19,0,Feature
-75.19311,39.94681,Point,East Service Drive,Philadelphia,PA,19104,4,23:58:00,15,,,false,false,3129,Active,"The Children's Hospital of Philadelphia, East Service Drive",00:02:00,,Eastern Standard Time,19,0,Feature
